"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
646444																																							41935	442	2050	0	0	2407	8843	1598	189996	171828	499	172327	0	1792	0	0	17669	1085	189996	0	0	-17625	0	0	34165	0	22977	148851			0	134513	132721	44	0	0	0	0	17669		0	
646471																																							2877	260	0	0	0	27	0	541	16349	12842	26	12868	0	83	0	0	3482	0	16350	0	0	848	0	0	2634	0	0	12842			0	12727	12644	0	0	0	0	0	3482		0	
646556																																							1309	5278	24157	0	193	8556	0	3867	227437	202459	555	205114	0	1961	0	0	22323	200	227437	0	0	14545	0	0	7205	0	44636	157823			0	182653	180692	373	3385	0	2000	100	22323		0	
646743																																							22185	3527	78740	0	5848	9714	3264	6607	424156	343306	1228	381287	0	3359	31578	0	42869	221	424156	0	0	18988	0	0	22954	406	58489	284817			0	291060	287701	706	6100	0	0	5175	42869	64	0	
646873																																							6489	790	3502	0	217	1935	0	4326	121630	85274	1750	109356	0	1053	22332	0	12274	0	121630	0	0	12273	0	0	0	443	17265	68009			0	104906	103853	1	75	0	0	0	12274		0	
646958																																							2223	1233	24423	0	39	862	0	696	73982	63188	142	65780	0	582	2150	0	8202	300	73982	0	0	1011	0	0	6856	0	20935	42253			0	45088	44506	35	0	0	300	0	8202	0	0	
647218																																							72727	9264	65651	0	326	9291	1000	16475	520484	464714	2659	468055	0	4404	682	0	52429	1189	520484	0	0	39702	0	0	11507	834	127645	337069			0	349269	344865	31	51	0	0	0	52429		0	
647245																																							1740	4137	71204	0	0	843	0	8584	213830	174455	5115	194544	0	1898	13000	0	19286	1375	213830	0	0	13208	0	0	4845	0	32740	141715			0	128817	126919	-142	403	0	0	1974	19286		0	
647414																																							6252	2540	47451	0	0	1023	0	841	143666	129410	175	130763	0	1102	0	0	12903	375	143666	0	0	12382	0	0	625	0	24991	104419			-617	68104	67002	138	86	0	0	1178	12903		18471	
647432																																							4356	1990	171734	1009	0	10319	4902	4636	586796	504051	2025	528676	0	4109	22600	0	58121	1200	586797	0	0	16446	0	0	36800	0	86480	417571			0	391959	387850	3675	0	0	0	0	58121		0	
