"IDRSSD"	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONF264	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	RCONL136	RCONL137	RCONL138	
3396535	0	0	0	0	0	0	0	0	0	0	604	131034	0	0	0	0	0	173666	28	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18202	439	0	0	10689	8774	0	0	42	9675	0	0	0	0	0	0	0	0	0	0	0	115302	58364	0	0	0	0	0	6526	0	227	1222	0	-2153	75	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7021	0	0	0	7021	0	0	0	38793	15502	115302	70887	0	3100	57651	70887	131638	0	5067	5067	22370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225270	0	225270	
3397019	0	0	0	0	0	0	0	0	0	0	0	195730	0	0	0	0	0	189542	0	0	0	238	238	0	0	0	238	0	0	3687	0	0	0	0	0	765	6481	0	0	0	0	0	125	293	5647	17644	0	0	0	0	0	0	2000	0	0	364	63440	125738	0	0	0	0	0	19420	738	0	1502	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10288	0	0	0	10288	0	0	0	6412	42211	63440	155569	0	8442	31720	155569	195731	0	16220	16220	22604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249169	0	244744	
3397233	0	0	0	0	0	0	0	0	0	0	6	85663	0	0	0	0	0	55087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	614	0	0	0	0	0	0	943	18719	42944	7184	14708	0	0	0	0	0	0	500	0	4402	50185	0	0	0	0	0	6583	0	569	826	91	-134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0	0	0	963	0	0	0	20260	44384	11677	70953	0	8877	5839	70953	85669	0	0	0	16197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144656	0	144656	
3398100	0	0	0	0	0	0	0	0	0	0	1795	284363	0	0	0	0	0	250255	0	0	0	5511	5511	0	0	0	5511	0	0	0	0	0	0	0	0	113374	2885	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0	0	0	0	0	12496	237759	0	0	0	0	0	9428	0	1314	1983	0	-4945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28862	0	0	0	28861	0	0	0	114688	4868	12496	278936	0	974	6248	278936	286158	0	0	0	45024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362163	0	359863	
3398306	0	0	0	0	0	0	0	0	0	0	0	14264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37060	0	0	0	0	0	0	0	1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	37060	0	6852	0	7412	0	6852	14264	0	0	0	40860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52389	0	52044	
3398623	0	0	0	0	0	0	0	0	0	0	1306	99343	0	0	0	0	0	103020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6680	8282	0	0	0	0	0	0	702	21861	25509	0	2987	0	0	0	641	0	0	8363	8591	13655	72411	0	0	0	0	0	4326	0	494	781	0	-1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1884	1884	0	0	1884	0	0	0	0	0	0	0	5477	0	0	0	5477	0	0	0	37398	43163	16180	83926	0	8633	8090	83926	100649	0	0	0	18119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169726	0	169553	
3400928	0	0	0	0	0	0	0	0	0	0	61	270091	0	0	0	0	0	268951	0	0	0	564	564	0	0	0	564	0	0	5270	0	0	0	0	0	43509	8929	0	0	0	0	0	0	-41	2363	18662	0	713	0	0	6621	0	0	0	0	33459	5190	230303	0	0	0	0	0	24464	4404	0	6881	0	1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7888	0	0	0	7888	0	0	0	45872	74552	5190	252647	0	14910	2595	252647	270152	0	0	0	41533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340060	0	334790	
3401970	0	0	0	0	0	0	0	0	0	0	559	244767	0	0	0	0	0	224988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3385	26281	0	0	0	2000	0	0	112	5592	15470	0	4269	0	0	0	0	0	0	8	0	30335	194645	0	0	0	0	0	16874	0	857	5570	8	-3514	1455	0	0	0	1455	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9472	0	0	0	9472	0	0	0	9842	49321	30343	220290	0	9864	15172	220290	245326	0	0	0	24279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279392	0	278801	
3402481	0	0	0	0	0	0	0	0	0	0	2995	57489	0	0	0	0	0	57482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10762	4544	0	0	0	0	0	0	5	11	115	0	0	0	0	0	0	0	0	0	1140	13952	42390	0	0	0	0	0	10319	0	0	522	67	-3746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	90	0	0	0	10773	6321	14019	52210	0	1264	7010	52210	60484	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79936	0	79936	
3402575	0	0	0	0	0	0	0	0	17	0	5575	285281	0	0	0	0	0	279703	0	0	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	0	12018	899	0	0	0	0	0	0	350	12587	30009	2711	0	0	0	0	3906	0	0	664	300	54624	224115	0	0	0	0	0	25770	4470	0	0	0	-4391	0	0	0	0	0	565	0	0	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13123	0	0	10435	2688	0	0	17	25269	31703	71693	248668	0	6341	35847	248668	290856	0	495	495	32000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354763	0	350293	
